ApplicationDocsID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,VerificationStatus
20119,018248,SUPPL,27,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/018248_S027_OXYTOCIN_AP.pdf,2007-07-09 00:00:00,INDEX ONLY - content not screened for IND information
20120,018261,SUPPL,21,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/018261_s021_PITOCIN_LBL.pdf,2008-04-04 00:00:00,INDEX ONLY - content not screened for IND information
20121,018276,SUPPL,33,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/018276ap.pdf,1997-11-20 00:00:00,INDEX ONLY - content not screened for IND information
20122,018281,SUPPL,31,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/018927_S031_TEGRETOL_AP.PDF,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
20124,018401,SUPPL,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/018401_s014_BuprenexTOC.html,2006-05-10 00:00:00,INDEX ONLY - content not screened for IND information
20125,018467,SUPPL,13,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018467-S13&S14_Hepatolite_toc.html,2003-08-05 00:00:00,INDEX ONLY - content not screened for IND information
20126,018506,SUPPL,18,0,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/019670_s013,20470s10,18506s018_Claritin-DTOC.cfml",2007-03-02 00:00:00,INDEX ONLY - content not screened for IND information
20127,018553,SUPPL,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018553_s012_INDERAL LA.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20128,018553,SUPPL,15,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018553_s015_INDERAL LA.pdf,2009-09-14 00:00:00,INDEX ONLY - content not screened for IND information
20129,018604,SUPPL,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/018604S014.pdf,1997-01-08 00:00:00,INDEX ONLY - content not screened for IND information
20130,018612,SUPPL,22,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/96/018612s022_020066s004_Nicorette.html,2005-05-02 00:00:00,INDEX ONLY - content not screened for IND information
20131,018612,SUPPL,25,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/18-612s025_Nicorette.html,1998-12-23 00:00:00,INDEX ONLY - content not screened for IND information
20132,018612,SUPPL,34,0,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/018612_S034_NICORETTE_GUM_AP.pdf,2007-07-06 00:00:00,INDEX ONLY - content not screened for IND information
