ApplicationDocsID,ApplicationDocsTypeID,ApplNo,SubmissionType,SubmissionNo,ApplicationDocsTitle,ApplicationDocsURL,ApplicationDocsDate,UnparsedExtraFields,screening_status
73297,2,761164,SUPPL     ,3,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761164s003lbl.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73299,2,125514,SUPPL     ,128,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125514s128lbl.pdf,2023-01-26 00:00:00,[],Unscreened Stage B index row
73302,1,125514,SUPPL     ,128,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/125514Orig1s128ltr.pdf,2023-01-27 00:00:00,[],Unscreened Stage B index row
73303,1,204958,SUPPL     ,3,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/204958Orig1s003ltr.pdf,2023-01-27 00:00:00,[],Unscreened Stage B index row
73304,2,021990,SUPPL     ,41,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021990s041lbl.pdf,2023-01-27 00:00:00,[],Unscreened Stage B index row
73307,1,022198,SUPPL     ,19,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/022198Orig1s019ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73308,1,215712,SUPPL     ,11,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/215712Orig1s011ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73309,2,019839,SUPPL     ,102,0,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019839s102,020990s059lbl.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73311,2,020990,SUPPL     ,59,0,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/019839s102,020990s059lbl.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73313,2,212028,SUPPL     ,7,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/212028s007lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73315,2,761235,SUPPL     ,1,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761235s001lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73316,2,214846,SUPPL     ,5,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214846s005lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73317,2,214846,SUPPL     ,6,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214846s006lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73318,2,022262,SUPPL     ,3,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022262s003s004lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73319,2,022262,SUPPL     ,4,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022262s003s004lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73320,2,021544,SUPPL     ,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021544s014s015lbledt.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73321,2,021544,SUPPL     ,15,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021544s014s015lbledt.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73322,2,021840,SUPPL     ,12,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021840s012s013lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73323,2,021840,SUPPL     ,13,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021840s012s013lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73324,2,203441,SUPPL     ,16,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203441Orig1s016lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73325,2,211994,SUPPL     ,14,0,http://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211994s014lbl.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73327,1,761235,SUPPL     ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/761235Orig1s001ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73328,1,217639,ORIG      ,1,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/217639Orig1s000correctedltr.pdf,2023-02-02 00:00:00,[],Unscreened Stage B index row
73330,1,214846,SUPPL     ,6,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/214846Orig1s006ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73331,1,214846,SUPPL     ,5,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/214846Orig1s005ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
73332,1,022262,SUPPL     ,3,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/022262Orig1s003,s004ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73333,1,022262,SUPPL     ,4,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/022262Orig1s003,s004ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73334,1,021840,SUPPL     ,12,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021840Orig1s012,s013ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73335,1,021840,SUPPL     ,13,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021840Orig1s012,s013ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73336,1,021544,SUPPL     ,14,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021544Orig1s014,s015ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73337,1,021544,SUPPL     ,15,0,"https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/021544Orig1s014,s015ltr.pdf",2023-01-30 00:00:00,[],Unscreened Stage B index row
73338,1,020011,SUPPL     ,46,0,https://www.accessdata.fda.gov/drugsatfda_docs/appletter/2023/020011Orig1s046;019943Orig1s039ltr.pdf,2023-01-30 00:00:00,[],Unscreened Stage B index row
