document_id,index_row_id,application,submission_type,submission_no,original_url
919192b82712911db5d3d321,75002,761309,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761309Orig1s000TOC.html
b8c3562d34e98434db226020,75020,204485,SUPPL,20,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/204485Orig1s020.pdf
6d08b9c1b8545a8c349b3411,75021,125514,SUPPL,34,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/125514Orig1s034.pdf
c88f99d41b928b0790cac9ec,75024,217470,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217470Orig1s000TOC.html
f6d9bad8315aee721c36571f,75042,761219,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761219Orig1s000TOC.html
aefcf3282a4d42ba3b2ae481,75066,216993,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216993Orig1s000TOC.html
f9cf96b62eadd94158680b46,75093,761328,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761328Orig1s000TOC.html
7294cb7c51057a18eb7cdc18,75094,212479,ORIG,4,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.html"
7294cb7c51057a18eb7cdc18,75095,212479,ORIG,3,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.html"
7294cb7c51057a18eb7cdc18,75096,212479,ORIG,2,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.html"
7294cb7c51057a18eb7cdc18,75097,212479,ORIG,1,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212479Orig1,Orig2,Orig3,Orig4s000TOC.html"
b4240d3fa272cfbc28c45d5b,75114,217603,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217603Orig1s000TOC.html
5f68e742d1b5c94fd8e955b4,75115,215910,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215910Orig1s000TOC.html
53f815abb28404ef44e35e4e,75199,213593,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/213593Orig1s000TOC.html
fcab6eb72c2495caff1327cf,75285,216403,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216403Orig1s000TOC.html
c0c960d8ec4737abc324ae69,75305,214628,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/214628Orig1s000TOC.html
b1a72395255085e4cbd7fd47,75323,217369,ORIG,2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217369Orig2s000TOC.html
9dd9cedbc9b5146603f4e270,75333,217722,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217722Orig1s000TOC.html
90e47a80cd763c1ada832536,75344,217225,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217225Orig1s000TOC.html
ebb5a5f5298867c595dcf690,75355,021537,SUPPL,19,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021537Orig1s019.pdf
62d34b04204f28f116c789c1,75357,761342,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761342Orig1s000TOC.html
70d76640d1eeb9b055ba2f89,75377,215033,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215033Orig1s000TOC.html
ac20e73b58d450305460d977,75391,216359,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216359Orig1s000TOC.html
b42b3e64a7bb2cbe241db77f,75405,761345,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761345Orig1s000TOC.html
3df790d8c731c7ff0483dde8,75489,215559,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215559Orig1s000TOC.html
e89f5b6f842a9051a38bb4ca,75500,212209,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/212209Orig1s000TOC.html
531526c069bcb209ac568e4f,75510,125118,SUPPL,240,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/125118Orig1s240.pdf
da9fb3fe376d603366d07a3c,75511,209376,SUPPL,2,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/209376Orig1s002.pdf
982e1998465666afed261244,75517,761339,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761339Orig1s000TOC.html
225870aed449496861d7004a,75518,215870,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215870Orig1s000TOC.html
8a0854b0a3e1f0160fd2b43d,75519,216472,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/216472Orig1s000TOC.html
ef5bd0839931333b28e77a6a,75520,217415,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217415Orig1s000TOC.html
cd015913b5027ac55a28a4ad,75522,217159,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217159Orig1s000TOC.html
35e70ac9226122dbeac52680,75546,215352,ORIG,1,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215352Orig1s000TOC.html
0cfec17710abe69e3c8a63aa,75554,205422,SUPPL,9,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/205422Orig1s009TOC.html
52aea2b3af0a796dd935059d,75592,021029,SUPPL,36,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021029Orig1s036,037,038,022277Orig1s017,018,019TOC.html"
52aea2b3af0a796dd935059d,75593,021029,SUPPL,37,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021029Orig1s036,037,038,022277Orig1s017,018,019TOC.html"
52aea2b3af0a796dd935059d,75594,021029,SUPPL,38,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021029Orig1s036,037,038,022277Orig1s017,018,019TOC.html"
52aea2b3af0a796dd935059d,75595,022277,SUPPL,17,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021029Orig1s036,037,038,022277Orig1s017,018,019TOC.html"
52aea2b3af0a796dd935059d,75596,022277,SUPPL,18,"http://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/021029Orig1s036,037,038,022277Orig1s017,018,019TOC.html"
